price,rgdp,ff,commd_price
4.76608,4.36555,4.75,3.56
4.7715,3.47251,3.55,3.56
4.05642,5.25138,4.3,3.56
3.99213,5.37836,4.74,3.56
4.44703,6.89181,5.15,3.56
4.06445,7.56118,6.54,3.56
5.01274,6.31955,7.82,3.56
6.04217,4.77135,10.56,4.06
6.79361,4.02406,10,4.31
7.56949,0.639,9.32,10.11
8.44235,-0.20826,11.25,10.11
9.49225,-0.62904,12.09,10.11
10.51075,-1.94576,9.35,11.16
10.92939,-2.29977,6.3,11.16
9.97803,-1.83484,5.42,11.16
8.73142,0.79862,6.16,11.16
7.39247,2.5548,5.41,11.16
6.115,6.1543,4.83,11.763
5.61508,6.17398,5.2,12.17
5.12509,4.95826,5.28,12.747
5.24782,4.31152,4.87,13.9
5.82167,3.22684,4.66,13.9
6.24506,4.4653,5.16,13.9
6.16534,5.76999,5.82,14.533
6.55038,5.01327,6.51,14.85
6.38766,4.11411,6.76,14.85
6.91374,6.07793,7.28,14.85
7.42221,5.24703,8.1,14.85
7.29959,6.65956,9.58,14.85
7.69183,6.51045,10.07,15.517
8.25891,2.6567,10.18,17.683
8.77888,2.38945,10.95,25.583
8.57668,1.28409,13.58,30.833
8.87291,1.42055,15.05,35.833
8.79779,-0.77507,12.69,39.5
8.8476,-1.62375,9.84,37.833
9.6483,-0.03905,15.85,36.333
10.22078,1.6,16.57,38
9.79309,2.96867,17.78,37.333
9.4157,4.32572,17.58,36
8.48076,1.29983,13.59,35.333
7.15053,-2.19052,14.23,31.297
6.43334,-1.01075,14.51,34.817
5.94913,-2.55604,11.01,34.58
5.22916,-1.44318,9.29,33.85
4.58556,1.43147,8.65,29.653
4.00985,3.26848,8.8,30.537
3.64579,5.73697,9.46,31.56
3.35938,7.89966,9.43,29.83
3.62393,8.57805,9.69,30.199
3.74107,7.99653,10.56,30.368
3.56149,6.90073,11.39,29.104
3.55133,5.57564,9.27,27.431
3.52598,4.55482,8.48,27.05
3.30853,3.68399,7.92,27.857
3.01671,4.26242,7.9,27.791
2.82385,4.18246,8.1,29.193
2.32355,4.14611,7.83,17.002
2.05415,3.702,6.92,13.92
1.85745,3.11918,6.21,13.86
1.84322,2.90724,6.27,15.378
1.98742,2.71158,6.22,18.229
2.3067,3.3536,6.65,19.364
2.66122,3.26199,6.84,20.385
2.91876,4.47456,6.92,18.67
3.06577,4.24126,6.66,16.714
3.35274,4.48449,7.16,17.281
3.80207,4.1932,7.98,15.163
3.87063,3.79934,8.47,14.68
4.13782,4.31516,9.44,18.418
4.23326,3.74791,9.73,20.359
3.75316,3.90754,9.08,19.253
3.59741,2.74321,8.61,20.333
3.63475,2.82101,8.25,21.722
3.69116,2.4127,8.24,17.897
3.82117,1.72736,8.16,26.5
3.85467,0.60306,7.74,31.853
3.75192,-0.9502,6.43,21.781
3.35505,-0.53893,5.86,20.753
3.2796,-0.10281,5.64,21.655
3.1238,1.1664,4.82,21.737
2.50317,2.85894,4.02,18.91
2.36871,3.16984,3.77,21.186
2.07095,3.66539,3.26,21.67
2.16693,4.38265,3.04,20.479
2.36,3.31991,3.04,19.825
2.35388,2.80667,3,19.76
2.46018,2.28651,3.06,17.796
2.31536,2.60771,2.99,16.451
2.23172,3.43071,3.21,14.813
2.11696,4.22561,3.94,17.777
2.0967,4.33705,4.49,18.497
2.09305,4.11617,5.17,17.657
2.15841,3.48141,5.81,18.357
2.15569,2.40238,6.02,19.343
2.07341,2.67333,5.8,17.853
2.01232,2.19979,5.72,18.157
1.94878,2.60131,5.36,19.77
1.88255,4.00238,5.24,21.757
1.71535,4.05013,5.31,22.423
1.76794,4.42145,5.28,24.667
1.88643,4.31407,5.28,22.79
1.66696,4.31127,5.52,19.907
1.77726,4.6747,5.53,19.783
1.574,4.48355,5.51,19.917
1.11409,4.85553,5.52,15.93
1.15237,4.09279,5.5,14.653
1.13872,4.10345,5.53,14.13
1.0876,4.88313,4.86,12.84
1.27232,4.81634,4.73,13.047
1.41511,4.72189,4.75,17.66
1.3451,4.79112,5.09,21.737
1.62094,4.82357,5.31,24.563
1.96514,4.22474,5.68,28.807
2.21427,5.24446,6.27,28.783
2.44944,3.97317,6.52,31.623
2.43313,2.90559,6.47,31.98
2.42955,2.19751,5.59,28.81
2.40761,0.9963,4.33,27.883
2.21266,0.48924,3.5,26.6
1.98399,0.16732,2.13,20.403
1.6323,1.33726,1.73,21.61
1.37748,1.32538,1.75,26.27
1.46463,2.14652,1.74,28.33
1.73414,1.99252,1.44,28.18
1.91131,1.67926,1.25,34.12
1.91396,1.95507,1.25,29.037
2.00793,3.23114,1.02,30.213
2.03709,4.30044,1,31.19
2.26521,4.34195,1,35.257
2.72905,4.22749,1.01,38.33
2.79257,3.49486,1.43,43.86
2.96243,3.3511,1.95,48.307
3.05015,3.90884,2.47,49.707
2.96103,3.61774,2.94,53.043
3.24492,3.4486,3.46,63.08
3.29251,2.97274,3.98,60.033
3.19938,3.21311,4.46,63.347
3.35642,2.9729,4.91,70.53
3.13805,2.32528,5.25,70.443
2.66316,2.63456,5.25,60.093
2.91019,1.57672,5.26,58.13
2.72883,1.93437,5.25,64.97
2.57376,2.36804,5.07,75.5
2.62239,2.13336,4.5,90.85
2.03211,1.39247,3.18,97.953
1.81848,1.37601,2.09,123.963
2.02788,0.26597,1.94,117.983
